plot_id;tree_id;measure_id;dbh_cm;height_h;drainage_texture_class;potential_vegetation;climatic_domain;ratio_dbh_meandbh;precipitation;temperature;basal_area_m2ha;nb_trees_ha;height_minus_1_3;log_dbh;log_dbh2
99100302;6;2;37;24.5;2;FE2;2EST;1.2731841299;1178.2613;5.9282;21.55729463;325;23.2;3.6375861597;13.232033069
99100302;8;1;15.3;15.5;2;FE2;2EST;0.5953754361;1178.2613;5.9282;15.560092429;300;14.2;2.7911651078;7.7906026591
99100302;8;2;17.3;15.8;2;FE2;2EST;0.5952996067;1178.2613;5.9282;21.55729463;325;14.5;2.9069010598;8.4500737717
99100401;13;1;25.9;18.3;2;FE2;1;0.9561204371;1082.5739;6.5924;20.171223951;350;17;3.2921262866;10.838095487
99100401;13;2;29.4;19.9;2;FE2;1;1.1095956666;1082.5739;6.5924;20.676941828;375;18.6;3.4144426084;11.658418326
99100401;14;1;32;21.3;2;FE2;1;1.1813071038;1082.5739;6.5924;20.171223951;350;20;3.4965075615;12.225565127
99100401;14;2;36.2;22.9;2;FE2;1;1.3662368412;1082.5739;6.5924;20.676941828;375;21.6;3.6163087613;13.077689057
99100401;2;1;10.4;12.3;2;FE2;1;0.3839248087;1082.5739;6.5924;20.171223951;350;11;2.4336133554;5.9224739636
99100401;2;2;13;14.7;2;FE2;1;0.4906375397;1082.5739;6.5924;20.676941828;375;13.4;2.6390573296;6.964623589
99100401;5;1;12.4;15;2;FE2;1;0.4577565027;1082.5739;6.5924;20.171223951;350;13.7;2.595254707;6.735346994
99100401;5;2;14.9;16.3;2;FE2;1;0.5623461032;1082.5739;6.5924;20.676941828;375;15;2.7663191092;7.6525214141
99100401;6;1;10.9;15.2;2;FE2;1;0.4023827322;1082.5739;6.5924;20.171223951;350;13.9;2.4765384001;6.1332424473
99100401;6;2;13.9;15.9;2;FE2;1;0.524604754;1082.5739;6.5924;20.676941828;375;14.6;2.701361213;7.2973524028
99100402;20;1;11.7;16.3;2;FE2;1;0.5470000688;1090.6744;6.6141;30.542583413;850;15;2.5416019935;6.4597406932
99100402;20;2;12.8;15.4;2;FE2;1;0.5736396237;1090.6744;6.6141;36.172062194;925;14.1;2.6246685922;6.8888852187
99100402;6;2;39.4;22;2;FE2;1;1.7657344668;1090.6744;6.6141;36.172062194;925;20.7;3.698829785;13.681341778
99100402;7;1;12.7;11.7;2;FE2;1;0.5937522115;1090.6744;6.6141;30.542583413;850;10.4;2.6173958328;6.8507609457
99100402;7;2;14.3;15.4;2;FE2;1;0.6408630171;1090.6744;6.6141;36.172062194;925;14.1;2.7278528284;7.4411810534
99100501;10;2;34.9;24.7;1;FE2;1;1.2079293192;1095.4366;6.6269;26.225131899;400;23.4;3.5807372955;12.821679579
99100501;17;1;19.1;22.8;1;FE2;1;0.7064503887;1095.4366;6.6269;24.399572043;425;21.5;3.0007198151;9.0043194085
99100501;3;1;19.9;21.9;1;FE2;1;0.7360399338;1095.4366;6.6269;24.399572043;425;20.6;3.039749159;9.2400749495
99100501;3;2;22.1;23.2;1;FE2;1;0.7649065317;1095.4366;6.6269;26.225131899;400;21.9;3.1398326175;9.8585488661
99100501;6;1;29.5;24.8;1;FE2;1;1.0911144747;1095.4366;6.6269;24.399572043;425;23.5;3.4177266836;11.680855684
99100501;6;2;34;23.7;1;FE2;1;1.1767792795;1095.4366;6.6269;26.225131899;400;22.4;3.5553480615;12.640499838
